#SMILES:C1([C@@H]([C@@H]([C@H]([C@H](O1)CO[C@H]2[C@@H]([C@@H]([C@H]([C@H](O2)CO[C@@H]3[C@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O[C@H]4[C@@H]([C@H]([C@H](O4)CO[C@H]5[C@@H]([C@H]([C@H](O5)CO[C@H]6[C@@H]([C@H]([C@H](O6)CO[C@H]7[C@@H]([C@H]([C@H](O7)CO[C@H]8[C@@H]([C@H]([C@H](O8)CO)O)O)O)O)O)O)O)O)O)O)O)O)O[C@@H]9[C@H]([C@H]([C@@H]([C@H](O9)CO)O)O)O)O)O)O)O
#ION:
1309.430000	1928.273000	^{0,4}X_{3α}
737.235000	3811.986000	^{0,3}X_{3α}
707.225000	3540.443000	^{0,2}X_{3α}
677.214000	2541.865000	^{0,1}X_{3α}
753.230000	1333.418000	^{3,4}X_{3α}
723.220000	1161.017000	^{2,4}X_{3α}
693.209000	739.678000	^{1,4}X_{3α}
1295.415000	3191.802000	^{2,3}X_{3α}
1265.404000	1647.974000	^{1,3}X_{3α}
1295.415000	3329.222000	^{1,2}X_{3α}
1309.430000	2680.501000	^{0,5}X_{2α}
1265.404000	2221.994000	^{0,4}X_{2α}
1235.394000	3167.691000	^{0,3}X_{2α}
1205.383000	3165.427000	^{0,2}X_{2α}
515.161000	2024.507000	^{0,1}X_{2α}
1281.399000	2812.291000	^{4,5}X_{2α}
1251.389000	2624.616000	^{3,5}X_{2α}
1221.378000	1724.723000	^{2,5}X_{2α}
531.156000	3892.428000	^{1,5}X_{2α}
1295.415000	3720.802000	^{3,4}X_{2α}
1265.404000	523.634000	^{2,4}X_{2α}
575.182000	2417.945000	^{1,4}X_{2α}
1295.415000	2983.814000	^{2,3}X_{2α}
605.193000	3411.480000	^{1,3}X_{2α}
635.203000	361.414000	^{1,2}X_{2α}
191.056000	3601.512000	^{0,1}X_{1}
383.119000	3492.821000	^{0,2}X_{1}
413.130000	1624.423000	^{0,3}X_{1}
443.140000	2892.637000	^{0,4}X_{1}
1309.430000	3623.864000	^{0,5}X_{1}
1133.362000	2218.564000	^{1,2}X_{1}
1103.351000	660.281000	^{1,3}X_{1}
1073.341000	995.956000	^{1,4}X_{1}
207.050000	1851.266000	^{1,5}X_{1}
1295.415000	1323.923000	^{2,3}X_{1}
1265.404000	3923.311000	^{2,4}X_{1}
399.114000	1435.696000	^{2,5}X_{1}
1295.415000	2949.252000	^{3,4}X_{1}
429.124000	2149.505000	^{3,5}X_{1}
459.135000	1773.410000	^{4,5}X_{1}
1281.399000	3978.080000	^{4,5}X_{2β}
1251.389000	741.886000	^{3,5}X_{2β}
1221.378000	2064.062000	^{2,5}X_{2β}
1191.367000	1861.382000	^{1,5}X_{2β}
1309.430000	1997.043000	^{0,5}X_{2β}
1295.415000	1534.234000	^{3,4}X_{2β}
1265.404000	131.676000	^{2,4}X_{2β}
1235.394000	2332.137000	^{1,4}X_{2β}
1265.404000	1552.455000	^{0,4}X_{2β}
1295.415000	3256.508000	^{2,3}X_{2β}
1265.404000	3177.583000	^{1,3}X_{2β}
1235.394000	1175.569000	^{0,3}X_{2β}
1295.415000	3131.745000	^{1,2}X_{2β}
1205.383000	1184.701000	^{0,2}X_{2β}
1175.373000	3581.539000	^{0,1}X_{2β}
1295.415000	3950.112000	^{2,3}X_{0}
1265.404000	3177.692000	^{1,3}X_{0}
89.024000	768.467000	^{0,3}X_{0}
105.019000	3777.603000	^{3,5}X_{0}
1295.415000	1702.607000	^{3,4}X_{0}
1295.415000	1205.625000	^{1,2}X_{0}
59.013000	2592.888000	^{0,2}X_{0}
75.008000	3646.929000	^{2,5}X_{0}
1265.404000	2802.863000	^{2,4}X_{0}
29.003000	2044.516000	^{0,1}X_{0}
44.998000	3779.444000	^{1,5}X_{0}
1235.394000	81.070000	^{1,4}X_{0}
1309.430000	2646.407000	^{0,5}X_{0}
119.034000	2850.038000	^{0,4}X_{0}
135.029000	1400.727000	^{4,5}X_{0}
